judge,judge_tag,policy,corpus,n,baseline_asr,asr_1shot,asr_3shot,asr_6shot
qwen2.5-coder:7b,qwen,random,adversarial-code-buggy,148,6.8,35.1,68.2,86.5
qwen2.5-coder:7b,qwen,react,adversarial-code-buggy,148,6.8,59.5,84.5,91.9
qwen2.5-coder:7b,qwen,ucb1,adversarial-code-buggy,148,6.1,65.5,89.9,96.6
qwen2.5-coder:7b,qwen,thompson,adversarial-code-buggy,148,6.1,62.8,89.9,98.0
qwen2.5-coder:7b,qwen,kl-ucb,adversarial-code-buggy,148,6.1,67.6,94.6,96.6
qwen2.5-coder:7b,qwen,exp3,adversarial-code-buggy,148,6.1,60.1,90.5,95.9
qwen2.5-coder:7b,qwen,random,cubert_wbo,150,4.7,36.0,70.0,87.3
qwen2.5-coder:7b,qwen,react,cubert_wbo,150,5.3,56.7,89.3,96.7
qwen2.5-coder:7b,qwen,ucb1,cubert_wbo,150,5.3,64.7,90.0,96.7
qwen2.5-coder:7b,qwen,thompson,cubert_wbo,150,5.3,61.3,90.0,98.0
qwen2.5-coder:7b,qwen,kl-ucb,cubert_wbo,150,6.0,69.3,90.7,96.0
qwen2.5-coder:7b,qwen,exp3,cubert_wbo,150,6.0,65.3,92.7,98.0
deepseek-coder:6.7b,deepseek,random,adversarial-code-buggy,148,3.4,46.6,82.4,95.3
deepseek-coder:6.7b,deepseek,react,adversarial-code-buggy,148,3.4,67.6,87.8,93.9
deepseek-coder:6.7b,deepseek,ucb1,adversarial-code-buggy,148,2.7,72.3,95.9,98.6
deepseek-coder:6.7b,deepseek,thompson,adversarial-code-buggy,148,2.7,71.6,95.9,98.6
deepseek-coder:6.7b,deepseek,kl-ucb,adversarial-code-buggy,148,2.7,79.1,98.0,100.0
deepseek-coder:6.7b,deepseek,exp3,adversarial-code-buggy,148,2.7,81.8,97.3,99.3
deepseek-coder:6.7b,deepseek,random,cubert_wbo,150,0.0,33.3,67.3,85.3
deepseek-coder:6.7b,deepseek,react,cubert_wbo,150,0.0,48.7,81.3,91.3
deepseek-coder:6.7b,deepseek,ucb1,cubert_wbo,150,0.0,62.7,90.0,98.0
deepseek-coder:6.7b,deepseek,thompson,cubert_wbo,150,0.0,62.7,92.0,99.3
deepseek-coder:6.7b,deepseek,kl-ucb,cubert_wbo,150,0.0,63.3,88.7,100.0
deepseek-coder:6.7b,deepseek,exp3,cubert_wbo,150,0.0,55.3,86.0,98.7
codellama:7b,codellama,random,adversarial-code-buggy,148,64.9,85.8,99.3,100.0
codellama:7b,codellama,react,adversarial-code-buggy,148,66.2,92.6,97.3,100.0
codellama:7b,codellama,ucb1,adversarial-code-buggy,148,64.9,90.5,97.3,99.3
codellama:7b,codellama,thompson,adversarial-code-buggy,148,66.2,94.6,98.6,100.0
codellama:7b,codellama,kl-ucb,adversarial-code-buggy,148,66.2,92.6,96.6,98.0
codellama:7b,codellama,exp3,adversarial-code-buggy,148,64.9,93.9,98.0,99.3
codellama:7b,codellama,random,cubert_wbo,150,0.7,46.7,80.0,100.0
codellama:7b,codellama,react,cubert_wbo,150,1.3,68.7,89.3,91.3
codellama:7b,codellama,ucb1,cubert_wbo,150,1.3,79.3,98.7,100.0
codellama:7b,codellama,thompson,cubert_wbo,150,2.7,80.7,99.3,100.0
codellama:7b,codellama,kl-ucb,cubert_wbo,150,1.3,74.0,97.3,100.0
codellama:7b,codellama,exp3,cubert_wbo,150,2.7,78.7,96.7,98.7
starcoder2:7b,starcoder,random,adversarial-code-buggy,148,6.8,16.2,37.2,52.0
starcoder2:7b,starcoder,react,adversarial-code-buggy,148,4.7,17.6,21.6,24.3
starcoder2:7b,starcoder,random,cubert_wbo,150,16.0,24.7,38.7,52.7
starcoder2:7b,starcoder,react,cubert_wbo,150,15.3,21.3,26.0,26.7
